domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
tricare.mil,1211239,4399819,838798,3.632494495,228.8350474,1205506
navy.mil,1153475,2265044,743399,1.96366978,115.9941724,1155608
defense.gov,1022331,2236210,538324,2.187363975,163.7643503,1019697
health.mil,474427,860601,239034,1.813979811,121.8378655,474075
cpol.army.mil,352083,597113,113550,1.695943854,146.9158153,351475
fvap.gov,337061,1602077,251668,4.753077336,319.7645174,335712
disa.mil,159329,390115,118419,2.448487093,139.1814422,158880
militarypay.defense.gov,140228,316810,110865,2.259249223,112.1707505,140143
cdse.edu,122668,433074,60120,3.530456191,326.1369061,119244
cpms.osd.mil,57634,139574,41001,2.421730229,129.6509179,56661
lewis-mcchord.army.mil,57463,95763,44665,1.666515845,85.65433409,57423
dodcio.defense.gov,45148,79454,39687,1.759856472,78.21837069,45034
search.navy.mil,42332,81576,25250,1.927052821,74.84465652,38652
search.defense.gov,40569,77600,25188,1.912790554,76.80889349,38129
comptroller.defense.gov,39124,85854,25063,2.194407525,200.8234843,38521
archive.defense.gov,36803,65097,33527,1.768796022,105.8564791,36991
mrmc.amedd.army.mil,29471,58646,7725,1.989956228,350.1843168,29272
ndu.edu,23265,47571,16963,2.044745326,114.8416935,22520
italy.army.mil,21456,41098,12179,1.915454884,147.5916294,21189
constitutionday.cpms.osd.mil,17224,42674,14437,2.47758941,210.7288667,17236
valor.defense.gov,16325,24477,15040,1.499356815,59.402634,16320
dvbic.dcoe.mil,15609,39733,11200,2.545518611,192.7923634,15449
t2health.dcoe.mil,15068,23248,12150,1.542872312,85.28796124,14960
alu.army.mil,14704,42059,9892,2.860378128,161.8845892,14602
godefense.cpms.osd.mil,14454,33663,12281,2.328974678,115.2981874,14408
history.amedd.army.mil,14056,30319,11809,2.157014798,128.9836369,13976
ndupress.ndu.edu,12401,24027,9352,1.93750504,108.3419885,12344
afterdeployment.dcoe.mil,11223,20341,9625,1.812438742,112.5669607,11206
nro.gov,10370,29693,8447,2.863355834,126.0768563,10353
dcoe.mil,10290,20666,8032,2.008357629,109.9330418,10319
jfsc.ndu.edu,9135,26769,7082,2.930377668,189.134428,9118
militarykidsconnect.dcoe.mil,9090,12918,6035,1.421122112,63.23410341,9090
cascom.army.mil,8788,20330,6439,2.313381884,132.2200728,8783
prhome.defense.gov,8413,23123,7674,2.748484488,101.7917509,8379
armedforcessports.defense.gov,8322,24744,6502,2.97332372,152.0332853,8282
dpcld.defense.gov,6883,18749,5648,2.723957577,160.4287375,6849
cnss.gov,6428,12002,4482,1.867143746,110.4732421,6428
sapr.mil,6001,13157,4420,2.192467922,184.1196467,5939
policy.defense.gov,5791,12611,4613,2.177689518,95.66102573,5705
iad.gov,5597,18749,3470,3.349830266,224.6499911,5597
medicalmuseum.mil,5501,18237,4329,3.315215415,112.7847664,5495
dodhrinfo.cpms.osd.mil,5302,14352,3618,2.706903055,263.364768,5660
ctip.defense.gov,5040,10757,4437,2.134325397,129.5319444,5011
icollege.ndu.edu,4926,16360,3532,3.321153065,220.2480715,5091
nwc.ndu.edu,4790,19801,4135,4.133820459,156.0281837,4807
medicalservicecorps.amedd.army.mil,4710,10211,3424,2.167940552,161.7072187,4647
usaisr.amedd.army.mil,4374,9687,3197,2.214677641,225.8598537,4147
es.ndu.edu,3982,12184,3003,3.05976896,188.1127574,3976
dcmo.defense.gov,3612,8174,3043,2.263012182,166.1245847,3612
cco.ndu.edu,3532,7258,2782,2.054926387,121.9699887,3510
osdbu.gov,3521,5626,2548,1.597841522,200.0326612,3419
oea.gov,3493,11616,2139,3.325508159,159.0770112,3464
open.defense.gov,3060,4670,2753,1.526143791,102.0624183,2998
jnlwp.defense.gov,2582,7565,2196,2.929899303,178.8005422,2548
cisa.ndu.edu,2514,8510,1968,3.385043755,179.6296738,2594
inss.ndu.edu,2509,7190,2099,2.865683539,132.7899562,2548
jamrs.defense.gov,2378,5831,2014,2.452060555,76.84735071,2361
brac.gov,1780,2804,1416,1.575280899,109.3814607,1775
capstone.ndu.edu,1741,5518,1422,3.169442849,217.1160253,1667
dodsioo.defense.gov,1564,4727,1308,3.022378517,168.241688,1564
afd.defense.gov,1354,1803,1308,1.331610044,16.46381093,1354
ms.army.mil,1240,4460,904,3.596774194,266.5798387,1246
history.defense.gov,1223,3009,1086,2.460343418,145.1700736,1251
actuary.defense.gov,1206,2105,1030,1.745439469,82.58872305,1206
jsc.defense.gov,1035,1803,609,1.742028986,249.9555556,1024
nec-fb.belvoir.army.mil,1013,6524,159,6.440276407,663.6001974,1007